Uprev Summary:
==============

BLOCK NAME          	UPREV RUN STATUS    	PACKAGER STATUS     
==========          	================    	================    

datain              	Successful          	Not run             
progdelay           	Design Error(s)     	Not run             
fastcomp            	Design Error(s)     	Not run             
tuncomp             	Design Error(s)     	Not run             
ttl-to-ecl-in       	Design Error(s)     	Not run             
asyncdelaybig       	Design Error(s)     	Not run             
asyncdelay          	Design Error(s)     	Not run             
ribbondelay         	Successful          	Not run             
ttl_progdelay       	Design Error(s)     	Not run             
ellie_comms         	Design Error(s)     	Not run             
tubiigt             	Design Error(s)     	Not run             
bursttrig           	Design Error(s)     	Not run             
tubii_time          	Design Error(s)     	Not run             
prescaletrig        	Design Error(s)     	Not run             
lvds-ecl            	Successful          	Not run             
ecl-lvds            	Successful          	Not run             
ttl-ecl             	Design Error(s)     	Not run             
ecl-ttl             	Successful          	Not run             
ecl-nim             	Successful          	Not run             
nim-ecl             	Successful          	Not run             
latchexttrig        	Design Error(s)     	Not run             
powers              	Successful          	Not run             
exttrig             	Design Error(s)     	Not run             
caen_chat           	Successful          	Not run             
tubii               	Successful          	Fatal Error(s)      

Detailed log: temp/csnetlister.log
