                    - SPARES  LIST -

10E101
     U83  3, 4
10E101_PLCC
     U55  2, 3, 4
10E116
     U10  1, 3, 4, 5
     U17  2, 3, 4, 5
      U9  1, 2, 3, 4
      U8  1, 2, 3, 5
      U7  1, 2, 4, 5
     U14  1, 3, 4, 5
     U27  2, 3, 4, 5
     U33  2, 3, 4, 5
     U31  2, 3, 4, 5
    U113  5
    U141  2, 3, 4, 5
    U147  2, 3, 4, 5
10E131
     U73  2, 3, 4
    U149  2, 3, 4
    U105  4
10H116
     U64  2, 3
     U25  2, 3
10H116_PLCC
     U15  3
     U28  2, 3
     U45  3
     U44  2, 3
     U47  2, 3
10H125
     U68  2, 3, 4
     U67  2, 3, 4
     U65  2, 3, 4
     U66  2, 3, 4
     U62  2, 3, 4
     U61  2, 3, 4
     U23  1, 3, 4
10H125_PLCC
     U52  3, 4
10H131_PLCC
     U88  2
     U87  2
     U82  2
74F06
     U74  3, 4, 5, 6
74F06_SOIC
     U57  4, 5, 6
74F07_SOIC
    U129  1, 2, 5, 6
74HCT123
    U202  2
ADCMP566
    U139  2
EL91L
     U99  3
F273
    U111  2, 3, 4, 5, 6, 7, 8
HCT374
    U119  5, 6, 7, 8
MAX9376
    U153  1
    U104  1
MC10H104_PLCC-VCC=GND
    U100  2, 3, 4
MC10H124_PLCC
    U157  3, 4
THS3062
    U197  2
    U196  2
    U192  2
    U191  2
    U187  2
    U186  2
    U182  2
    U181  2
    U177  2
    U176  2
    U172  2
    U171  2
    U167  2
    U166  2
    U162  2
    U161  2

                    - PART SUMMARY -

100EL05		3
100EL34		2
10E016		1
10E101		3
10E101_PLCC		1
10E116		16
10E131		3
10ELT24		2
10EP90		1
10H116		2
10H116_PLCC		7
10H125		11
10H125_PLCC		2
10H131_PLCC		3
1N4448		16
74F06		1
74F06_SOIC		3
74F07_SOIC		3
74F164_2		4
74HCT123		7
74HCT165		1
7815S_L		1
7915_L		1
AD7243		1
AD8009		1
AD96685		1
ADCMP566		1
BAS16LT1		4
COTO2342		8
CSMD0603-0.1UF,10%,0603,50V		7
CSMD0603-0.1UF,5%,0603,50V		8
CSMD0805-0.1UF,5%,0805,50V		50
CSMD0805-0.22UF,10%,0805,25V		1
CSMD0805-0.33UF,10%,0805,25V		2
CSMD0805-1.0UF,10%,0805,25V		31
CSMD0805-100NF,10%,0805,25V		1
CSMD0805-10NF,10%,0805,25V		1
CSMD0805-15PF,10%,0805,25V		1
CSMD0805-1UF,10%,0805,25V		32
DS102350		3
DS1023500		1
EL91L		1
F273		1
FCI_61083-101400LF		2
FOXCLOCK		1
HCT238_TSSOP		1
HCT374		2
HCT374_SOIC		1
IDS_C10		6
INDUCTOR_L		4
LED_L		29
LM1117		1
LM337T_L		1
LVDS_DRIVER_DS10		6
MAX9376		3
MC10H104_PLCC-VCC=GND		4
MC10H124_PLCC		7
MMBTH10		1
MMBTH81		1
MPSH81		1
OPA2277		1
OPA277		1
OPA4277		2
PRMA1C05B		4
REF02		1
RES_L		106
RSMD0805-0,1%,0805		48
RSMD0805-100,1%,0805		21
RSMD0805-1000,1%,0805		26
RSMD0805-10K,1%,0805		11
RSMD0805-111,1%,0805		8
RSMD0805-120,1%,0805		1
RSMD0805-125,1%,0805		10
RSMD0805-130,1%,0805		6
RSMD0805-2K,1%,0805		1
RSMD0805-499,1%,0805		13
RSMD0805-50,1%,0805		181
RSMD0805-71.5,1%,0805		1
RSMD0805-84,0.1%,0805		10
TANT0805-10UF,5%,0805,25V		4
TANT0805-1UF,5%,0805,25V		2
TESTPOINT_L		286
THS3062		16

Total                                    1081
